player_id,player_name,team_name,position,age,nationality,appearances,minutes,goals,assists,shots,shots_on_target,passes,pass_accuracy,tackles,interceptions,duels,duels_won,yellow_cards,red_cards,rating,dribble_attempts,successful_dribbles,dribbled_past,fouls_drawn,crosses,accurate_crosses,long_balls,accurate_long_balls,key_passes,aerials_won,clearances,saves,saves_inside_box,goals_conceded,clean_sheets,penalties_saved
37688968,Anton Matkovic,Osijek,Attacker,20,Croatia,15.0,1002.0,0.0,1.0,17.0,5.0,157.0,57.32,11.0,2.0,155.0,80.0,4.0,0.0,6.89,36.0,14.0,6.0,20.0,26.0,3.0,11.0,4.0,10.0,35.0,7.0,0.0,0.0,14.0,3.0,0.0
37266383,Marco Boras,Slaven Koprivnica,Defender,24,Croatia,22.0,982.0,1.0,0.0,6.0,1.0,590.0,74.58,16.0,9.0,84.0,55.0,2.0,0.0,6.87,0.0,0.0,4.0,3.0,2.0,2.0,173.0,83.0,4.0,36.0,48.0,0.0,0.0,17.0,5.0,0.0
37719908,Bruno Durdov,Hajduk Split,Attacker,18,Croatia,27.0,979.0,3.0,1.0,32.0,14.0,257.0,66.54,18.0,3.0,109.0,42.0,2.0,0.0,6.88,30.0,11.0,12.0,6.0,28.0,12.0,33.0,14.0,13.0,8.0,4.0,0.0,0.0,7.0,10.0,0.0
73222,D. Štiglec,Gorica,Defender,35,Croatia,17.0,967.0,0.0,3.0,6.0,2.0,324.0,72.22,9.0,10.0,59.0,28.0,3.0,0.0,6.81,8.0,4.0,6.0,3.0,37.0,8.0,53.0,14.0,9.0,12.0,28.0,0.0,0.0,17.0,4.0,0.0
37596447,Filip Cuic,Lokomotiva Zagreb,Attacker,23,Bosnia and Herzegovina,16.0,962.0,1.0,1.0,15.0,6.0,234.0,59.83,9.0,5.0,187.0,74.0,3.0,0.0,6.78,11.0,6.0,4.0,15.0,6.0,1.0,18.0,9.0,9.0,45.0,7.0,0.0,0.0,11.0,7.0,0.0
13239047,Mario Mladenovski,Varaždin,Defender,25,Macedonia,13.0,937.0,0.0,0.0,7.0,1.0,565.0,80.18,11.0,16.0,68.0,41.0,3.0,0.0,7.13,6.0,5.0,3.0,1.0,2.0,1.0,136.0,57.0,2.0,24.0,59.0,0.0,0.0,5.0,6.0,0.0
73558,Slavko Bralic,Gorica,Defender,33,Croatia,14.0,924.0,0.0,0.0,4.0,2.0,474.0,77.22,16.0,19.0,124.0,71.0,4.0,0.0,7.13,6.0,6.0,9.0,14.0,3.0,1.0,94.0,35.0,5.0,37.0,81.0,0.0,0.0,12.0,6.0,0.0
24838180,Stipe Biuk,Hajduk Split,Attacker,23,Croatia,17.0,904.0,2.0,1.0,22.0,4.0,274.0,69.34,10.0,4.0,128.0,63.0,3.0,0.0,6.98,44.0,24.0,4.0,13.0,20.0,5.0,15.0,6.0,13.0,14.0,3.0,0.0,0.0,9.0,7.0,0.0
37619959,Luka Kapulica,Gorica,Midfielder,21,Croatia,16.0,891.0,1.0,0.0,11.0,2.0,353.0,82.44,12.0,15.0,126.0,52.0,2.0,0.0,6.8,40.0,18.0,17.0,14.0,8.0,1.0,25.0,17.0,7.0,8.0,13.0,0.0,0.0,13.0,2.0,0.0
37709571,Lovre Kulusic,Šibenik,Midfielder,19,Croatia,29.0,890.0,4.0,1.0,25.0,11.0,160.0,61.88,14.0,7.0,120.0,55.0,1.0,0.0,6.85,6.0,1.0,3.0,9.0,8.0,2.0,7.0,1.0,8.0,31.0,9.0,0.0,0.0,18.0,3.0,0.0
5270357,Marko Vranjkovic,Lokomotiva Zagreb,Defender,27,Croatia,18.0,889.0,1.0,0.0,17.0,6.0,254.0,67.32,19.0,5.0,124.0,49.0,3.0,0.0,6.9,8.0,4.0,3.0,5.0,31.0,8.0,27.0,10.0,12.0,21.0,17.0,0.0,0.0,16.0,2.0,0.0
37560492,Ivan Cvijanovic,Osijek,Defender,22,Croatia,18.0,888.0,1.0,1.0,5.0,3.0,348.0,70.4,29.0,11.0,100.0,56.0,2.0,0.0,6.85,11.0,5.0,5.0,8.0,29.0,6.0,60.0,20.0,2.0,15.0,40.0,0.0,0.0,17.0,4.0,0.0
74068,Josip Elez,Hajduk Split,Defender,32,Croatia,16.0,871.0,0.0,0.0,5.0,1.0,551.0,88.75,9.0,8.0,53.0,29.0,0.0,0.0,6.99,1.0,1.0,7.0,4.0,3.0,0.0,81.0,47.0,3.0,15.0,44.0,1.0,0.0,8.0,7.0,0.0
37656051,Vito Caic,Gorica,Midfielder,21,Croatia,22.0,870.0,0.0,0.0,7.0,0.0,256.0,69.92,28.0,3.0,135.0,68.0,4.0,0.0,6.66,11.0,4.0,9.0,14.0,5.0,0.0,40.0,15.0,3.0,23.0,16.0,0.0,0.0,10.0,8.0,0.0
131838,Bruno Petkovic,Dinamo Zagreb,Attacker,31,Croatia,20.0,865.0,4.0,3.0,26.0,8.0,310.0,69.68,8.0,1.0,168.0,82.0,1.0,0.0,7.17,20.0,10.0,5.0,28.0,12.0,3.0,17.0,13.0,22.0,37.0,22.0,0.0,0.0,14.0,8.0,0.0
22897215,Ivan Ćalušić,Istra 1961,Midfielder,26,Croatia,21.0,862.0,0.0,1.0,5.0,0.0,409.0,81.17,12.0,8.0,65.0,37.0,1.0,0.0,6.75,13.0,8.0,3.0,7.0,6.0,1.0,29.0,17.0,12.0,12.0,11.0,0.0,0.0,15.0,9.0,0.0
72614,Arijan Ademi,Dinamo Zagreb,Midfielder,35,Macedonia,18.0,837.0,3.0,1.0,18.0,6.0,339.0,85.84,26.0,7.0,110.0,68.0,3.0,0.0,7.13,15.0,7.0,2.0,20.0,6.0,2.0,9.0,5.0,12.0,15.0,9.0,0.0,0.0,13.0,5.0,0.0
